Código;Nome;Categoria;Stock;Valor Unit.;Valor Total
88;Activyl gatinho < 4Kg - pipeta;Felídeos - Desp.externo - Pipeta;0.00;0;0
89;Activyl gatinho < 4Kg - caixa *c;Felídeos - Desp.externo - Pipeta;0.00;0;0
9;Vacina leptospirose + parainfluenza (Pi+L4);Canídeos - Vacinas;42.00;168;168
90;Activyl gato > 4kg  - pipeta;Felídeos - Desp.externo - Pipeta;0.00;0;0
92;Broadline gatinhos até 2,5kg  - pipeta;Felídeos - Desp.interno e externo - Pipeta;0.00;0;0
93;Broadline gatinhos até 2,5kg - caixa *c;Felídeos - Desp.externo - Pipeta;0.00;0;0
94;Broadline gatos de 2,5-7,5kg - pipeta;Felídeos - Desp.interno e externo - Pipeta;0.00;0;0
95;Broadline gatos de 2,5-7,5kg - caixa *c;Felídeos - Desp.externo - Pipeta;0.00;0;0
96;Eliminall gato - pipeta;Felídeos - Desp.externo - Pipeta;0.00;0;0
99;Areia Catrine;Bem-estar Animal;39.00;99,06;99,06
