Código;Nome;Categoria;Stock;Valor Unit.;Valor Total
;Areia de Banho Chinchillas 2L / 1,3Kg;Leporídeos;0.00;0;0
;Hedylon (Prednisolona) 25mg - comprimido;Medicamentos;199.00;93,53;93,53
;Amanova Gato Frango & Atum - lata 70g;Felídeos - Ração - Húmida;20.00;8,6;8,6
;Amanova Cão Exquisite Chicken 300g;Canídeos - Ração - Húmida;16.00;36,8;36,8
;Kong Cat Pull-a-partz Sushi;Bem-estar Animal;0.00;0;0
;Metoclopramida 10mg - comprimido;Medicamentos;0.00;0;0
;Stronghold 240mg - 20,1-40,0kg - caixa *c;Canídeos - Desp.interno e externo - Pipeta;0.00;0;0
;Champô Megamazon Forest Purity Pitanga 300ml;Bem-estar Animal;2.00;11,04;11,04
;AD Cat Sterilized Sensitive Salmon and Barley 1,5kg;Felídeos - Ração - Seca;4.00;38,64;38,64
;Credelio PLUS 450mg 11-22Kg - Comprimido;Canídeos - Desp.externo - Comprimido c/ prev.dirofilariose;20.00;129;129
;Barrita Coelhos/Cavia Fruta 2 un;Leporídeos - Ração;0.00;0;0
;Vitaminthe 10mL;Canídeos e Felídeos - Desp.interno;0.00;0;0
;RC Kitten Sterilized 3,5Kg;Felídeos - Ração - Seca;0.00;0;0
;Amanova Gato Frango & Surimi - lata 70g;Felídeos - Ração - Húmida;0.00;0;0
;HPM W2 Cat Weight Loss & Control 1,5Kg;Felídeos - Ração - Seca;0.00;0;0
;RC Mini Puppy 800g;Canídeos - Ração - Seca;0.00;0;0
;Kong Cat Window Teaser (janela);Bem-estar Animal;3.00;10,62;10,62
;UrinaryMet Pasta 100g;Suplemento;0.00;0;0
;Meloxicam 7,5mg - comprimido;Medicamentos;0.00;0;0
;Compressa tendersorb (tipo penso);Consumíveis;0.00;0;0
;Stronghold 240mg - 20,1-40,0kg - pipeta;Canídeos - Desp.interno e externo - Pipeta;0.00;0;0
;Propalin xarope cão 30ml;Medicamentos;4.00;54,88;54,88
;Amodip 1,25mg - blister de 10 comprimidos;Medicamentos;15.00;123,15;123,15
;Champô Megamazon Forest Energy Guaraná 300ml;Bem-estar Animal;6.00;33,12;33,12
;Credelio PLUS 56.25mg 1.4-2.8Kg - Comprimido;Canídeos - Desp.externo - Comprimido c/ prev.dirofilariose;3.00;13,41;13,41
;Palladia 10mg - embalagem de 20 comprimidos;Medicamentos;0.00;0;0
;Barrita Coelhos/Cavia Cenoura & Salsa 2 un;Leporídeos - Ração;0.00;0;0
;Carporal 40mg - comprimido;Medicamentos;0.00;0;0
;Kong Scrumplez Koala M;Bem-estar Animal;1.00;7,43;7,43
;Lepicortinolo 20mg - comprimido;Medicamentos;0.00;0;0
;Simparica 10mg - comprimido;Canídeos - Desp.externo;0.00;0;0
;Trocoxil 75mg - 31-37kg - comprimido;Medicamentos;0.00;0;0
;Condicionador Megamazon Forest Energy Guaraná 280ml;Bem-estar Animal;7.00;38,64;38,64
;RC Cat Hepatic 2Kg;Felídeos - Ração - Seca;0.00;0;0
;Kong Shakers Flamingo Small;Bem-estar Animal;0.00;0;0
;Microlax lactentes;Medicamentos;13.00;12,61;12,61
;Alizin 10ml *f;Injectáveis;0.00;0;0
;Apoquel 05,4mg - blister 10 comprimidos;Medicamentos;0.00;0;0
;Purina Proplan Diabetes (DM) 10*85g (Caixa);Felídeos - Ração - Húmida;0.00;0;0
;Schesir Gato Atum/Papaia 85g - Saqueta;Felídeos - Ração - Húmida;0.00;0;0
;RC Cat Mature Consult Balance 85g - Saqueta;Felídeos - Ração - Húmida;0.00;0;0
;Palmidol - 30 cápsulas;Suplemento;6.00;56,58;56,58
;Fortiflora plus Cão - Caixa 30 saquetas;Suplemento;0.00;0;0
;Famotidina 20mg - comprimido;Medicamentos;0.00;0;0
;Purina Proplan Dermaplus 10*85g (Caixa);Felídeos - Ração - Húmida;0.00;0;0
;Clorohexidina 0,5% spray solução alcoólica - 250ml;Tratamentos;0.00;0;0
;Colar 7,5 confort;Consumíveis;1.00;3,12;3,12
;Kong Sherps Floofs Sheep M;Bem-estar Animal;0.00;0;0
;Karsivan - Caixa;Medicamentos;3.00;42;42
;Seringa 0.5ml (de insulina c/ agulha) - Caixa;Consumíveis;9.00;134,55;134,55
;Nature Feno Timothy - pimentão & pastinaga 500g;Leporídeos - Ração - Seca;2.00;9,36;9,36
;Zodon 88mg - comprimido;Medicamentos;54.00;35,1;35,1
;Litter Aparas Madeira 1Kg;Bem-estar Animal;0.00;0;0
;Ownat Dog Prime Mini Adult Chicken and Turkey 1kg;Canídeos - Ração - Seca;0.00;0;0
;Kong Snuzzles Kiddos Sloth Small;Bem-estar Animal;1.00;5,72;5,72
;Posatex - embalagem;Medicamentos;0.00;0;0
;Seringa 2ml - 2 peças *f;Consumíveis;0.00;0;0
;Fato Buster pós-cirurgia gato - XS;Bem-estar Animal;0.00;0;0
;Prevendog - Caixa com 2 (NAO EXISTE);Canídeos - Desp.externo - Coleira;0.00;0;0
;Litter Roedores Back 2 Nature - 3,5l;Animais Exóticos;0.00;0;0
;AD Kitten 400g;Felídeos - Ração - Seca;0.00;0;0
;Zodon 264mg - comprimido;Medicamentos;78.00;106,86;106,86
;Litter Aparas Madeira 2,5kg;Bem-estar Animal;0.00;0;0
;RC Kitten Sterilized 2Kg;Felídeos - Ração - Seca;0.00;0;0
;AD Cat Wet weight balance 85g - Saqueta;Felídeos - Ração - Húmida;12.00;12,84;12,84
;Ownat Cat Hypoallergenic 1,5kg;Canídeos - Ração - Seca;0.00;0;0
;Mirtazapina 15mg - comprimido;Medicamentos;60.00;10,2;10,2
;Profender gato multidose - 14ml *f;Felídeos - Desp.externo- Dose;0.00;0;0
;VL Cuni Junior Complete 0,5kg;Leporídeos - Ração - Seca;0.00;0;0
;Prevendog - Caixa com 2 (NAO EXISTE);Canídeos - Desp.externo - Coleira;0.00;0;0
;Instinct Dog No Grain Mini Adult Chicken 2Kg;Canídeos - Ração - Seca;0.00;0;0
;Montain Hay (Feno Montanha) - Ervas 500g;Leporídeos - Ração - Seca;0.00;0;0
;Natural Straw / Palha 2,5Kg;Leporídeos;0.00;0;0
;RC Dog Urinary Small Dog - 1.5Kg;Canídeos - Ração - Seca;0.00;0;0
;Aster Trisoftal Wipes - Caixa;Suplemento;0.00;0;0
;Lacri + Solução conforto ocular 10ml;Medicamentos;17.00;130,73;130,73
;Cardalis 5/40mg - caixa de 30 comprimidos;Medicamentos;0.00;0;0
;VL Cuni Sensitive Complete 0,5kg;Leporídeos - Ração - Seca;0.00;0;0
;AD Cat Urinary Stress 1.25kg;Felídeos - Ração - Seca;5.00;54;54
;Purina Proplan Gastrointestinal Frango (EN) 10*85g (Caixa);Felídeos - Ração - Húmida;0.00;0;0
;Montain Hay (Feno Montanha) - Dente leão 500g;Leporídeos - Ração - Seca;0.00;0;0
;Trazodona 100mg - 1 comprimido;Medicamentos;23.00;2,07;2,07
;Panacur pasta - embalagem;Canídeos e Felídeos - Desp.interno - Comprimido s/ prev.dirofilariose;0.00;0;0
;Lidor frasco 50ml *f;Injectáveis;1.00;7,57;7,57
;Trela Buster 1,8m;Bem-estar Animal;0.00;0;0
;SP FCD-L Crystal Prevention Light 400g;Felídeos - Ração - Seca;0.00;0;0
;PEITORAL PUPPIA MISCHIEF CINZA L;Bem-estar Animal;0.00;0;0
;VL Cuni Sensitive Complete 1,75kg;Leporídeos - Ração - Seca;0.00;0;0
;Purina Proplan Gastrointestinal Salmão (EN) 10*85g (Caixa);Felídeos - Ração - Húmida;0.00;0;0
;Intint Treats 50g - Chicken;Canídeos - Ração - Seca;0.00;0;0
;Montain Hay (Feno Montanha) - Camomila 500g;Bem-estar Animal;0.00;0;0
;Librela 10mg (10-20kg) - 1ml;Medicamentos;1.00;35;35
;RC Labrador 140g - Saqueta;Canídeos - Ração - Húmida;0.00;0;0
;Trovetplus Cão Renal Oxalato Frango 3Kg;Canídeos - Ração - Seca;0.00;0;0
;Churu Broth Frango 40g (sopa);Felídeos - Ração - Húmida;0.00;0;0
;Fortiflora gato - 1 saqueta;Suplemento;169.00;96,33;96,33
;Tala 30x200mm;Consumíveis;1.00;2,22;2,22
;Fato pós-cirurgia cão Tm03 Macho/Fêmea Dry - Rosa/Verde;Bem-estar Animal;1.00;21,5;21,5
;PEITORAL PUPPIA MISCHIEF CINZA M;Bem-estar Animal;0.00;0;0
;Pexion 100mg - embalagem de 100 comprimidos;Medicamentos;0.00;0;0
;Intint Treats 50g - Beef;Canídeos - Ração - Seca;0.00;0;0
;Cavia Complete Cobaias 500g;Leporídeos - Ração;0.00;0;0
;RC Maxi Ageing 140g - Saqueta;Canídeos - Ração - Húmida;0.00;0;0
;Trovetplus Cão Renal Oxalato Frango 10Kg;Canídeos - Ração - Seca;1.00;28,73;28,73
;Churu Broth Frango c/ Atum 40g (sopa);Felídeos - Ração - Húmida;4.00;3,2;3,2
;Stubbs S-Onco - Embalagem 90g;Suplemento;3.00;61,8;61,8
;Resguardo pequeno *f;Consumíveis;20.00;50,8;50,8
;Tala 40x300mm;Consumíveis;0.00;0;0
;PEITORAL PUPPIA MISCHIEF VERMELHO L;Bem-estar Animal;2.00;29,8;29,8
;Nature Chinchila 700g;Leporídeos - Ração;0.00;0;0
;AD Cat Wet Sterilized Turkey 85g;Felídeos - Ração - Húmida;8.00;0;0
;Nature Snack Frutties 85g;Leporídeos - Ração - Seca;0.00;0;0
;Stubbs S-Onco - Embalagem 180g;Suplemento;0.00;0;0
;Zodon/Clindaseptin solução oral 25mg/ml - frasco;Medicamentos;17.00;0;0
;Tala 50x400mm;Consumíveis;1.00;3,86;3,86
;Viusid Pets 150 ml;Suplemento;0.00;0;0
;PEITORAL PUPPIA MISCHIEF VERMELHO M;Bem-estar Animal;0.00;0;0
;Hamster Crispy 400g;Leporídeos - Ração;0.00;0;0
;Dormazolam (midazolam) - Frasco 20mL;Injectáveis;1.00;12,94;12,94
;Dialix Ut Feline -  30 comprimidos palatáveis;Suplemento;0.00;0;0
;Schesir Gato Atum/Peixe Azul 70g - latinha;Felídeos - Ração - Húmida;0.00;0;0
;Helizyme - detergente enzimático 1000ml;Outros;0.00;0;0
;SP CID-LF Digestive support Low Fat 2Kg;Canídeos - Ração - Seca;0.00;0;0
;Convenia - Frasco *f;Injectáveis;4.00;621,32;621,32
;Fio sutura 0 T (Monosyn) - Caixa;Consumíveis;12.00;531;531
;PEITORAL PUPPIA SOFT CAMUFLADO S;Bem-estar Animal;0.00;0;0
;Câmara de aerossóis de gato / cão pequeno;Consumíveis;0.00;0;0
;Ypozane 1,875mg - embalagem de 7 comprimidos;Medicamentos;0.00;0;0
;Metrovis 100mg - comprimido;Medicamentos;31.00;15,5;15,5
;NAO USAR Noroclav 250 (amoxicilina + ácido clavulânico) - comprimido;Medicamentos;0.00;0;0
;Kong snacks - Small Kong - Chicken liver;Bem-estar Animal;0.00;0;0
;Impromune cão/gato 40 comprimidos;Suplemento;0.00;0;0
;Colar 15 Confort;Consumíveis;8.00;27,04;27,04
;Finilac Solução oral - 3ml;Medicamentos;0.00;0;0
;Metrobactin/Metrovis 750mg - comprimido;Medicamentos;0.00;0;0
;Covinan - Frasco 20ml *f;Injectáveis;0.00;0;0
;Kong snacks - Medium/Long Kong - Chicken and Rice;Bem-estar Animal;0.00;0;0
;Pet Remedy spray 200ml;Bem-estar Animal;0.00;0;0
;Purina Proplan Diabetes Cão (DM) 3Kg;Canídeos - Ração - Seca;0.00;0;0
;Finilac Solução oral - 10ml;Medicamentos;3.00;78,96;78,96
;Dermoscent Atop7 champô 200ml;Bem-estar Animal;0.00;0;0
;Sitalan - Blister 24 comprimidos;Suplemento;0.00;0;0
;Stubbs S-Infla - Blister 15 comprimidos;Suplemento;11.00;49,83;49,83
;Fio sutura 3/0 T (Monosyn) - Caixa;Consumíveis;12.00;480,6;480,6
;Kong snacks - Medium/Long Kong - Chicken liver;Bem-estar Animal;0.00;0;0
;Pet Remedy spray 15ml;Bem-estar Animal;0.00;0;0
;Purina Proplan Obesity Cão (OM) lata 400g;Canídeos - Ração - Húmida;0.00;0;0
;Dermoscent Physio champô 200ml;Bem-estar Animal;0.00;0;0
;VEGGIEDENT FR3SH S (15 Unidades);Bem-estar Animal;3.00;15,06;15,06
;Struv'Less gatos - 30 snacks;Suplemento;0.00;0;0
;Stubbs S-Ansi Plus - caixa 30 comprimidos bilayer;Suplemento;0.00;0;0
;Fio sutura 2/0 (Dafilon);Consumíveis;0.00;0;0
;Dermoscent Essential 6 champô 200ml;Bem-estar Animal;0.00;0;0
;Schesir Gato Frango/Gambas 70g - latinha;Felídeos - Ração - Húmida;8.00;9,52;9,52
;Toalhitas Ferribiella Talco;Bem-estar Animal;1.00;1,81;1,81
;Stubbs S-Cisti - Embalagem 50ml;Suplemento;4.00;40,6;40,6
;AD Cat Sterilized Hairball 10kg;Felídeos - Ração - Seca;2.00;62,88;62,88
;Rede sintética Premilene;Consumíveis;1.00;42,94;42,94
;Dermoscent Pyoclean champô 200ml;Bem-estar Animal;0.00;0;0
;Toalhitas Ferribiella Clorexidina;Bem-estar Animal;0.00;0;0
;Stubbs S-Nutriv - Embalagem 100ml;Suplemento;0.00;0;0
;AD Cat Sterilized Hairball 1,5kg;Felídeos - Ração - Seca;4.00;38,64;38,64
;Toalhitas;Bem-estar Animal;0.00;0;0
;SP Amostra CCD Struvite Management (adult);Canídeos - Ração - Seca;0.00;0;0
;Toalhitas Ferribiella Sensitive Bio;Bem-estar Animal;0.00;0;0
;Fato pós-cirurgia cão Tm16 Macho/Fêmea Dry - Rosa/Verde;Bem-estar Animal;1.00;41,05;41,05
;Medetomidina (Sedator/Dorbene/Sedin) - Frasco 10/20ml *f;Injectáveis;1.00;24,42;24,42
;Actrapid - insulina - ampola;Medicamentos;0.00;0;0
;SP Amostra CED Endocrine Support (adult);Canídeos - Ração - Seca;0.00;0;0
;TOW CÃO ADULTO JAVALI 5,6KG - Southwest Canion;Canídeos - Ração - Seca;0.00;0;0
;SP CID Digestive support 12Kg;Canídeos - Ração - Seca;0.00;0;0
;Simparica TRIO 5-10kg - 1 comprimido;Medicamentos;0.00;0;0
;Toalhitas Ferribiella Herbal;Bem-estar Animal;0.00;0;0
;Quetamina/Ketamina (Nimatek/Imalgene) - Frasco 10ml *f;Injectáveis;5.00;45;45
;Arranhador para gato;Bem-estar Animal;0.00;0;0
;SP Amostra CID Digestive Support (all ages);Canídeos - Ração - Seca;0.00;0;0
;Florentero pasta;Suplemento;0.00;0;0
;TOW Prey Gato Angus 6,8Kg;Felídeos - Ração - Seca;0.00;0;0
;Manipulado Betanecol 4mg/ml - 60ml;Medicamentos;0.00;0;0
;Churu Cat Bites Salmão c/ Atum e Frango - Saqueta (3x10g);Felídeos - Ração - Húmida;6.00;11,22;11,22
;2024 Kong Holiday Cat Kickeroo Rena/Boneco de Neve;Outros;0.00;0;0
;SP Amostra CJD Joint Support (adult);Canídeos - Ração - Seca;0.00;0;0
;Vacina Eurican Piro - Pirodog - babesiose;Medicamentos;0.00;0;0
;Colar 10 confort;Consumíveis;0.00;0;0
;Schesir Gato Hairball Frango 1,5Kg;Felídeos - Ração - Seca;0.00;0;0
;Kimidryl Aqua 250mL;Suplemento;2.00;0;0
;Toalhitas Ferribiella Maçã e Gengibre;Bem-estar Animal;1.00;1,81;1,81
;2024 Kong Holiday Cat Play Spaces Bungalow;Outros;0.00;0;0
;Amanova Adult Exigent All Breeds Iberian Pork 10Kg;Canídeos - Ração - Seca;1.00;38,76;38,76
;Atipamezol (Revazol/Alzane) - Frasco 10ml *f;Injectáveis;1.00;0;0
;SP Amostra CXD-M Adult Medium Breed (adult);Canídeos - Ração - Seca;0.00;0;0
;Toalhitas Ferribiella Olhos;Bem-estar Animal;1.00;0,98;0,98
;2024 Kong Holiday Dog Snuzzles Reindeer M;Outros;0.00;0;0
;Betadine frasco 500ml;Consumíveis;0.00;0;0
;SP Amostra FCD Cristal Management (adult);Felídeos - Ração - Seca;0.00;0;0
;Cefalexina 50mg (Cefabactin / Cephacare) - comprimido;Medicamentos;0.00;0;0
;Protetor solar Dermoscent Sunfree 30ml;Bem-estar Animal;0.00;0;0
;Toalhitas Ferribiella Ouvidos;Bem-estar Animal;2.00;1,96;1,96
;2024 Kong Holiday Dog Snuzzles Mini Gingerbread Brown XS;Outros;0.00;0;0
;Zenrelia 8,5mg - comprimido;Medicamentos;50.00;38,5;38,5
;SP Amostra FDD-HY Food Allergy Management (adult);Felídeos - Ração - Seca;0.00;0;0
;Purina Proplan Hypoallergenic Cão (HA) 11Kg;Canídeos - Ração - Seca;0.00;0;0
;Zenrelia 15mg - comprimido;Medicamentos;36.00;49,32;49,32
;AD Dog Mini Sensitive Salmon and Rice 3kg;Canídeos - Ração - Seca;2.00;25;25
;Trocoxil 20mg - 07-10kg - comprimido;Medicamentos;0.00;0;0
;VL Cuni Junior Nature 2,5kg;Leporídeos - Ração - Seca;0.00;0;0
;Panleucopenia - teste rápido;Análises - Simples;0.00;0;0
;SP Amostra FID Digestive Support (all ages);Felídeos - Ração - Seca;0.00;0;0
;Lypex - Caixa;Suplemento;0.00;0;0
;Algália para cão 2.0;Consumíveis;4.00;15,88;15,88
;AD Dog French Bulldog 7,5kg;Canídeos - Ração - Seca;0.00;0;0
;VL Cuni Nature 2,5kg;Leporídeos - Ração - Seca;0.00;0;0
;SP Amostra FKD Kidney Support (adult);Felídeos - Ração - Seca;0.00;0;0
;WeJoint Plus R. Pequenas - caixa de 30 comprimidos;Suplemento;1.00;11,2;11,2
;Fentanilo sistema transdérmico 12,5mcg/h;Medicamentos;0.00;0;0
;Toalhitas Inodorina Muschio 40un;Bem-estar Animal;0.00;0;0
;Evexia Plus 40ml;Suplemento;5.00;111,15;111,15
;Manipulado Nitrofurantoína 15mg - Embalagem de 45 cápsulas;Medicamentos;0.00;0;0
;Duotic Gel - Tubo Gel;Medicamentos;7.00;56,14;56,14
;Algália para cão 2.6;Consumíveis;5.00;19,85;19,85
;AD Cat Sterilized Senior (10 years) 1,5kg;Felídeos - Ração - Seca;1.00;9,66;9,66
;VL Cuni Nature Re-Balance 2,5kg;Leporídeos - Ração - Seca;0.00;0;0
;SP Amostra FPD Kitten (kitten);Felídeos - Ração - Seca;0.00;0;0
;AD Cat Kitten Chicken and Rice 10Kg;Felídeos - Ração - Seca;1.00;34,68;34,68
;Tampa de cateter c/rosca;Consumíveis;84.00;4,2;4,2
;Libra Cão Adulto Cordeiro 14Kg;Canídeos - Ração - Seca;0.00;0;0
;Algália para gato 1.0;Consumíveis;11.00;0;0
;RC Cat Renal - 4.0kg;Felídeos - Ração - Seca;1.00;5,01;5,01
;VL Cuni Adult Complete 1,75Kg;Leporídeos - Ração - Seca;0.00;0;0
;SP Amostra FSD Struvite Dissolution (adult);Felídeos - Ração - Seca;0.00;0;0
;Schesir Gato Frango/Abóbora 85g - Sopa;Felídeos - Ração - Húmida;1.00;0,59;0,59
;Cortotic - Spray auricular 16ml;Medicamentos;0.00;0;0
;SP Amostra FRD Weight Reduction (all ages);Felídeos - Ração - Seca;0.00;0;0
;Marbogen - embalagem;Medicamentos;0.00;0;0
;Ipakitine cão 180g;Suplemento;0.00;0;0
;Formol 10% - 10L;Consumíveis;1.00;13,41;13,41
;Milprazon/Milpro/Milbactor PALATÁVEL gato;Felídeos - Desp.interno;0.00;0;0
;Applaws Cat Chicken and Pumpkin 70g;Felídeos - Ração - Húmida;0.00;0;0
;Drontal puppy - suspensão oral - 50ml *f;Medicamentos;0.00;0;0
;SP Amostra FXD Adult (adult);Felídeos - Ração - Seca;0.00;0;0
;Applaws Cat Adult Chicken and Salmon 2kg;Felídeos - Ração - Seca;0.00;0;0
;SP Amostra FGD Sénior (Sénior);Felídeos - Ração - Seca;0.00;0;0
;AD Dog Mini Adult Chicken and Rice 1.5kg;Canídeos - Ração - Seca;0.00;0;0
;Ataxxa 2000/400mg Cão 25-40Kg - pipeta;Canídeos - Desp.externo - Pipeta;18.00;64,98;64,98
;Cardisure 5mg / Pimosure 5mg - blister 10 comprimidos;Medicamentos;35.00;124,6;124,6
;Applaws Cat Tuna and Seabream 70g;Felídeos - Ração - Húmida;0.00;0;0
;Veraflox - suspensão 15ml (oral gato);Medicamentos;0.00;0;0
;SP Amostra FND Neutered Young (young);Felídeos - Ração - Seca;0.00;0;0
;Schesir NS Kitten Peru 1,4Kg;Felídeos - Ração - Seca;0.00;0;0
;SP C-BIO-W Organic Diet with Fish 150g;Canídeos - Ração - Húmida;0.00;0;0
;Purina Proplan Gastrointestinal Cão (EN) 1.5Kg;Canídeos - Ração - Seca;0.00;0;0
;Applaws Cat Tuna and Pacific Prawn 70g;Felídeos - Ração - Húmida;0.00;0;0
;Profender cão até 10kg - comprimido;Canídeos - Desp.interno - Comprimido s/ prev.dirofilariose;0.00;0;0
;SP Amostra FJD Joint Support (adult);Felídeos - Ração - Seca;0.00;0;0
;Areia Sanicat Clumping Sabão Marsella 16l;Bem-estar Animal;0.00;0;0
;SP F-BIO-W Organic Diet with Fish 100gr;Felídeos - Ração - Húmida;0.00;0;0
;Actea Oral Gel 15ml;Medicamentos;0.00;0;0
;Diazepam 5mg/ml 10 ml *f;Injectáveis;1.00;10,01;10,01
;Purina Proplan Hypoallergenic Gato (HA) 1.5Kg;Felídeos - Ração - Seca;0.00;0;0
;Applaws Cat Chicken and Beef 70g;Felídeos - Ração - Húmida;0.00;0;0
;Profender cão até 03kg - comprimido;Canídeos - Desp.interno - Comprimido s/ prev.dirofilariose;0.00;0;0
;SP F-BIO-D Organic Diet Adult Cats 2Kg;Felídeos - Ração - Seca;0.00;0;0
;GimCat Malt Tabs - embalagem;Suplemento;0.00;0;0
;Metoclopramida - ampola *f;Injectáveis;6.00;2,22;2,22
;Tramadol - Embalagem *f;Injectáveis;0.00;0;0
;Profender cão até 30kg - comprimido;Canídeos - Desp.interno - Comprimido s/ prev.dirofilariose;0.00;0;0
;SP Amostra CKD Heart and Kidney Support (adult);Canideos e Felídeos - Ração - Seca;0.00;0;0
;SP C-BIO-D Organic Diet Adult Dogs 4Kg;Canídeos - Ração - Seca;0.00;0;0
;Purina Proplan Renal (NF) lata 195g;Felídeos - Ração - Húmida;13.00;23,01;23,01
;Fio sutura 5/0 (Dafilon);Consumíveis;0.00;0;0
;SP Amostra CGD-M Sénior Medium Breed (sénior);Canideos e Felídeos - Ração - Seca;0.00;0;0
;Bravecto gato Plus (6,25-12,5Kg);Felídeos - Desp.interno e externo - Pipeta;7.00;177,87;177,87
;SP FT-BIO Organic Treats 50g;Felídeos - Ração - Seca;0.00;0;0
;Vetoryl 30mg - embalagem de 30 cápsulas;Medicamentos;0.00;0;0
;Churu Broth Frango c/ Salmão 40g (sopa);Felídeos - Ração - Húmida;0.00;0;0
;Passaporte;Bem-estar Animal;6.00;39,9;39,9
;SP Amostra CRD-1 Weight Reduction (all ages);Canídeos - Ração - Seca;0.00;0;0
;Cortavance Spray 76ml;Medicamentos;0.00;0;0
;Fato pós-cirurgia gato Tm03 Dry Macho/Fêmea - Rosa;Bem-estar Animal;2.00;47,56;47,56
;RC Dog Gastro Intestinal Low fat - 12kg;Canídeos - Ração - Seca;0.00;0;0
;NÃO USAR Vacina Feligen RCP / Versifell CVR;Medicamentos;0.00;0;0
;SP CT-BIO Organic Treats 100g;Canídeos - Ração - Seca;0.00;0;0
;Amanova Gato Atum e Vaca - lata 70g;Felídeos - Ração - Húmida;7.00;6,02;6,02
;SP CKD Heart and Kidney Support 7Kg;Canídeos - Ração - Seca;0.00;0;0
;Fio sutura 3/0 (Silkam);Consumíveis;0.00;0;0
;SP Amostra COD-HY Allergy Management Plus (all ages);Canídeos - Ração - Seca;0.00;0;0
;Areia Sanicat Aglomerante Naturale 10l - NAO EXISTE;Bem-estar Animal;0.00;0;0
;Areia Extreme Classic Baby Powder 7Kg;Bem-estar Animal;0.00;0;0
;Purina Proplan Renal Gato (NF AC) 1.5Kg;Felídeos - Ração - Seca;0.00;0;0
;HPM Senior Neutered Cat 1,5kg;Felídeos - Ração - Seca;0.00;0;0
;Churu Dog Rolls Frango (8x96g);Canídeos - Ração - Húmida;4.00;16,64;16,64
;Fio sutura 5/0 (Silkam);Consumíveis;0.00;0;0
;SP Amostra CDD Food Allergy Management (adult);Canideos e Felídeos - Ração - Seca;0.00;0;0
;Areia Sanicat Aglomerante Bentonite Bianca 5l - NAO EXISTE;Bem-estar Animal;0.00;0;0
;Cytopoint Cão 20mg - Caixa;Injectáveis;1.00;97,11;97,11
;Schesir NS Cão Small Carne 490g;Canídeos - Ração - Seca;0.00;0;0
;Schesir Cão Frango/Presunto 150g - latinha;Canídeos - Ração - Húmida;0.00;0;0
;RC Cat Mature Consult 3,5Kg;Felídeos - Ração - Seca;0.00;0;0
;HPM KJ2 Cat Kidney & Joint 1.5kg;Felídeos - Ração - Seca;0.00;0;0
;Churu Vet Cão - Saqueta 14g;Canídeos - Ração - Húmida;46.00;0;0
;Vetoryl 5mg - embalagem de 30 cápsulas;Medicamentos;0.00;0;0
;Fio sutura 3/0 (Surgicryl);Consumíveis;0.00;0;0
;Areia Sanicat Aglomerante Rose d'Oriente 5l - NAO EXISTE;Bem-estar Animal;0.00;0;0
;SP CRD-1 Weight Reduction 12Kg;Canídeos - Ração - Seca;0.00;0;0
;Schesir Cão Atum 150g - Latinha;Canídeos - Ração - Húmida;0.00;0;0
;SP F/C-IN-L Lata intensive support - comida líquida 395g;Canideos e Felídeos - Ração - Húmida;0.00;0;0
;RC Dog Gastrointestinal Puppy lata 195g;Canídeos - Ração - Húmida;3.00;4,68;4,68
;Purina Proplan Hypoallergenic Cão (HA) lata 400g;Canídeos - Ração - Húmida;0.00;0;0
;Zilkene 450mg - 1 cápsula;Suplemento;0.00;0;0
;Fio sutura 5/0 (Safil);Consumíveis;0.00;0;0
;Areia Sanicat Active Sabão Marselha 10l - NOVA;Bem-estar Animal;21.00;105,21;105,21
;RC Cat Urinary S/O - 3.5kg;Felídeos - Ração - Seca;0.00;0;0
;SP CIW DIGESTIVE SUPPORT 100 GR;Canídeos - Ração - Húmida;1.00;0,74;0,74
;Purina Proplan Neurocare Cão (NC) 3Kg;Canídeos - Ração - Seca;0.00;0;0
;Schesir Gato Sterilized Peixe 1,5Kg;Felídeos - Ração - Seca;1.00;5,91;5,91
;Catéter 24G (amarelo) *f - Caixa;Consumíveis;11.00;251,57;251,57
;Água oxigenada 10Vol frasco 250ml;Consumíveis;84.00;37,8;37,8
;Areia Sanicat Aglomerante Baunilha e Tangerina 10l - NOVA;Bem-estar Animal;15.00;125,25;125,25
;Phenoleptil 25mg - Caixa;Medicamentos;1.00;13,45;13,45
;Kimiderm Active Champô 200ml;Suplemento;0.00;0;0
;Colocação de microchip THERMOCHIP MINI (inclui microchip e registo);Tratamentos;31.00;117,49;117,49
;Schesir Gato Sterilized Presunto 1,5Kg;Felídeos - Ração - Seca;1.00;5,91;5,91
;Areia Sanicat Classic Fragrance Free 16Lt;Bem-estar Animal;6.00;31,08;31,08
;Tampas em borracha para seringas - Caixa 100 unidades;Consumíveis;18.00;120,06;120,06
;Catéter 22G (azul) *f - Caixa;Consumíveis;5.00;200;200
;Coleira Adaptil S-M 46,5cm;Bem-estar Animal;0.00;0;0
;SP FRD Weight Redution 0,9kg - não existe;Felídeos - Ração - Seca;0.00;0;0
;TOW CÃO PUPPY BISONTE 5,6KG - H. Prairie;Canídeos - Ração - Seca;0.00;0;0
;Colar 20 confort;Consumíveis;4.00;22,76;22,76
;Catéter 20G (rosa) *f - Caixa;Consumíveis;3.00;0;0
;Banacep / Benakor / Cardinefril 20mg - blister de 14 comprimidos;Medicamentos;7.00;64,33;64,33
;Tad Calci 50 - Injectável 500ml;Animais de produção - Medicamentos;0.00;0;0
